Checksum  ;; rule-134.rq ; [Checksum ] ;  spdx:algorithm has a maximum cardinality of 1 for spdx:Checksum
Checksum  ;; rule-135.rq ; [Checksum ] ;  spdx:checksumValue has a maximum cardinality of 1 for spdx:Checksum
Checksum  ;; rule-164.rq ; [Checksum ] ;  spdx:checksumValue should be literal typed as hexBinary
Dataset ; M ; rule-114.rq ; [Dataset ] ;  dcat:Dataset does not exist
Dataset ; M ; rule-115.rq ; [Dataset ] ;  dcat:theme should be a skos:Concept
Dataset ; M ; rule-37.rq ; [Dataset ] ;  dct:description is a required property for Dataset
Dataset ; M ; rule-38.rq ; [Dataset ] ;  dct:description should be a literal
Dataset ; M ; rule-39.rq ; [Dataset ] ;  dct:title is a required property for Dataset
Dataset ; M ; rule-40.rq ; [Dataset ] ;  dct:title should be a literal
Dataset ; M ; rule-41.rq ; [Dataset ] ;  dcat:contactPoint is a recommended property for Dataset
Dataset ; M ; rule-43.rq ; [Dataset ] ;  dcat:contactPoint should be a vcard:Kind
Dataset ; M ; rule-44.rq ; [Dataset ] ;  dcat:distribution is a recommended property for Dataset
Dataset ; M ; rule-46.rq ; [Dataset ] ;  dcat:distribution should be a dcat:Distribution
Dataset ; M ; rule-49.rq ; [Dataset ] ;  dct:publisher is a recommended property for Dataset
Dataset ; M ; rule-50.rq ; [Dataset ] ;  dct:publisher has maximum cardinality of 1 for Dataset
Dataset ; M ; rule-52.rq ; [Dataset ] ;  dct:publisher should be a foaf:Agent
Dataset ; M ; rule-63.rq ; [Dataset ] ;  dcat:landingPage should be a foaf:Document
Dataset  ;; rule-100.rq ; [Dataset ] ;  dct:accessRights has maximum cardinality of 1 for Dataset
Dataset  ;; rule-103.rq ; [Dataset ] ;  dct:type has maximum cardinality of 1 for Dataset
Dataset  ;; rule-104.rq ; [Dataset ] ;  dct:type should be a skos:Concept
Dataset  ;; rule-150.rq ; [Dataset ] ;  dct:accessRights should be a dct:RightsStatement
Dataset  ;; rule-151.rq ; [Dataset ] ;  foaf:page should be a foaf:Document
Dataset  ;; rule-152.rq ; [Dataset ] ;  dct:hasVersion should be a dcat:Dataset
Dataset  ;; rule-153.rq ; [Dataset ] ;  dct:isVersionOf should be a dcat:Dataset
Dataset  ;; rule-154.rq ; [Dataset ] ;  dct:provenance should be a dct:ProvenanceStatement
Dataset  ;; rule-155.rq ; [Dataset ] ;  dct:relation should be a resource
Dataset  ;; rule-156.rq ; [Dataset ] ;  adms:sample should be a dcat:Distribution
Dataset  ;; rule-157.rq ; [Dataset ] ;  dct:source should be a dcat:Dataset
Dataset  ;; rule-47.rq ; [Dataset ] ;  dcat:keyword is a recommended property for Dataset
Dataset  ;; rule-48.rq ; [Dataset ] ;  dcat:keyword should be a literal
Dataset  ;; rule-53.rq ; [Dataset ] ;  dcat:theme is a recommended property for Dataset
Dataset  ;; rule-56.rq ; [Dataset ] ;  dct:conformsTo should be a dct:Standard
Dataset  ;; rule-58.rq ; [Dataset ] ;  dct:accrualPeriodicity should be a dct:Frequency
Dataset  ;; rule-59.rq ; [Dataset ] ;  dct:accrualPeriodicity has maximum cardinality of 1 for Dataset
Dataset  ;; rule-60.rq ; [Dataset ] ;  dct:identifier should be a literal
Dataset  ;; rule-65.rq ; [Dataset ] ;  dct:language should be a dct:LinguisticSystem
Dataset  ;; rule-67.rq ; [Dataset ] ;  adms:identifier should be a adms:Identifier
Dataset  ;; rule-68.rq ; [Dataset ] ;  dct:issued should be literal typed as date or dateTime
Dataset  ;; rule-69.rq ; [Dataset ] ;  dct:issued has maximum cardinality of 1 for Dataset
Dataset  ;; rule-71.rq ; [Dataset ] ;  dct:spatial should be a dct:Location
Dataset  ;; rule-72.rq ; [Dataset ] ;  dct:temporal should be a dct:PeriodOfTime
Dataset  ;; rule-73.rq ; [Dataset ] ;  dct:modified should be a literal typed as date or dateTime
Dataset  ;; rule-74.rq ; [Dataset ] ;  dct:modified has maximum cardinality of 1 for Dataset
Dataset  ;; rule-75.rq ; [Dataset ] ;  owl:versionInfo should be a literal
Dataset  ;; rule-76.rq ; [Dataset ] ;  owl:versionInfo has maximum cardinality of 1 for Dataset
Dataset  ;; rule-77.rq ; [Dataset ] ;  adms:versionNotes should be literal
Distribution ; M ; rule-111.rq ; [Distribution ] ;  dct:modified has a maximum cardinality of 1 for Distribution
Distribution ; M ; rule-159.rq ; [Distribution ] ;  foaf:page should be a foaf:Document
Distribution ; M ; rule-163.rq ; [Distribution ] ;  dcat:Distribution does not exist
Distribution ; M ; rule-79.rq ; [Distribution ] ;  dcat:accessURL is a required property for Distribution
Distribution ; M ; rule-81.rq ; [Distribution ] ;  dct:description is a recommended property for Distribution
Distribution ; M ; rule-82.rq ; [Distribution ] ;  dct:description should be a literal
Distribution ; M ; rule-86.rq ; [Distribution ] ;  dct:license is a recommended property for Distribution
Distribution ; M ; rule-87.rq ; [Distribution ] ;  dct:license should be a dct:LicenseDocument
Distribution ; M ; rule-88.rq ; [Distribution ] ;  dct:license has a maximum cardinality of 1 for Distribution
Distribution ; M ; rule-92.rq ; [Distribution ] ;  dct:issued should be literal typed as date or dateTime
Distribution ; M ; rule-200.rq ; [Distribution ] ;  dct:title is a mandatory property for Distribution
Distribution ; M ; rule-95.rq ; [Distribution ] ;  dct:title should be a literal
Distribution ; M ; rule-96.rq ; [Distribution ] ;  dct:modified should be a literal literal typed as date or dateTime
Distribution  ;; rule-105.rq ; [Distribution ] ;  spdx:checksum has a maximum cardinality of 1 for Distribution
Distribution  ;; rule-106.rq ; [Distribution ] ;  spdx:checksum should be a spdx:Checksum.
Distribution  ;; rule-107.rq ; [Distribution ] ;  dct:issued has a maximum cardinality of 1 for Distribution
Distribution  ;; rule-108.rq ; [Distribution ] ;  dct:rights has a maximum cardinality of 1 for Distribution
Distribution  ;; rule-109.rq ; [Distribution ] ;  adms:status has maximum cardinality of 1 for Distribution
Distribution  ;; rule-110.rq ; [Distribution ] ;  adms:status should be a skos:Concept
Distribution  ;; rule-158.rq ; [Distribution ] ;  dct:byteSize has a maximum cardinality of 1 for Distribution
Distribution  ;; rule-160.rq ; [Distribution ] ;  dct:language should be a dct:LinguisticSystem
Distribution  ;; rule-161.rq ; [Distribution ] ;  dct:conformsTo should be a dct:Standard
Distribution  ;; rule-162.rq ; [Distribution ] ;  dcat:mediaType has a maximum cardinality of 1 for Distribution
Distribution  ;; rule-80.rq ; [Distribution ] ;  dcat:accessURL should be a resource
Distribution  ;; rule-83.rq ; [Distribution ] ;  dct:format is a recommended property for Distribution
Distribution  ;; rule-84.rq ; [Distribution ] ;  dct:format should be a dct:MediaTypeOrExtent
Distribution  ;; rule-85.rq ; [Distribution ] ;  dct:format has a maximum cardinality of 1 for Distribution
Distribution  ;; rule-89.rq ; [Distribution ] ;  dct:byteSize should be a literal typed as decimal
Distribution  ;; rule-90.rq ; [Distribution ] ;  dcat:downloadURL should be a resource
Distribution  ;; rule-91.rq ; [Distribution ] ;  dcat:mediaType should be a dct:MediaTypeOrExtent
Distribution  ;; rule-93.rq ; [Distribution ] ;  dct:rights should be a dct:RightsStatement
Identifier  ;; rule-176.rq ; [Identifier ] ;  skos:notation has maximum cardinality of 1 for adms:Identifier
Identifier  ;; rule-66.rq ; [Identifier ] ;  skos:notation is a required property for adms:Identifier
Licence Document ; M ; rule-118.rq ; [Licence Document ] ;  dct:type has a maximum cardinality of 1 for dct:LicenseDocument
Licence Document ; M ; rule-166.rq ; [Licence Document ] ;  dct:LicenseDocument does not exist
Licence Document ; M ; rule-170.rq ; [Licence Document ] ;  dct:type is a required property for Licence Document
Licence Document  ;; rule-165.rq ; [Licence Document ] ;  dct:type should be a skos:Concept
Period of time ; M ; rule-136.rq ; [Period of time ] ;  schema:startDate has a maximum cardinality of 1 for dct:PeriodOfTime
period of time ; M ; rule-137.rq ; [period of time ] ;  schema:endDate has a maximum cardinality of 1 for dct:PeriodOfTime
Period of time ; M ; rule-174.rq ; [Period of time ] ;  schema:startDate should be a literal typed as date or dateTime
Period of time ; M ; rule-175.rq ; [Period of time ] ;  schema:endDate should be a literal typed as date or dateTime
